Time,CPU Usage
42243.953149,10.2
42243.953161,1.1
42243.953172,0.6
42243.953184,1.7
42243.953196,1.7
42243.953207,61.8
42243.953219,45.5
42243.953230,29.2
42243.953242,40.4
42243.953253,25.5
42243.953265,27.0
42243.953277,22.8
42243.953288,24.3
42243.953300,30.3
42243.953311,27.5
42243.953323,24.6
42243.953334,25.0
42243.953346,24.1
42243.953358,25.7
42243.953369,20.7
42243.953381,27.2
42243.953393,24.0
42243.953404,25.8
42243.953416,24.7
42243.953427,25.0
42243.953439,23.3
42243.953450,24.4
42243.953462,26.7
42243.953474,22.6
42243.953485,24.6
42243.953497,23.6
42243.953509,23.4
42243.953520,24.8
42243.953532,25.7
42243.953543,24.6
42243.953555,26.0
42243.953567,23.9
42243.953578,25.2
42243.953590,24.5
42243.953601,25.4
42243.953613,24.1
42243.953625,23.5
42243.953636,24.0
42243.953648,25.9
42243.953659,24.5
42243.953671,25.0
42243.953683,25.0
42243.953694,24.7
42243.953706,24.3
42243.953717,23.7
42243.953729,26.2
42243.953741,23.7
42243.953752,25.1
42243.953764,25.4
42243.953775,24.5
42243.953787,23.9
42243.953798,25.7
42243.953810,24.4
42243.953822,24.3
42243.953833,24.8
42243.953845,24.2
42243.953972,24.7
42243.954029,24.5
42243.954041,24.6
42243.954168,24.5
42243.954284,24.6
42243.954411,24.8
42243.954457,24.9
42243.954584,25.0
42243.954690,24.7
42243.954818,24.9
42243.954945,24.6
42243.955072,24.4
42243.955117,24.2
42243.955128,21.3
42243.955140,24.1
42243.955151,24.1
42243.955163,24.3
42243.955174,24.5
42243.955186,24.3
42243.955198,23.2
42243.955209,23.9
42243.955221,24.2
42243.955233,24.2
42243.955244,25.0
42243.955256,27.5
42243.955267,24.9
42243.955279,24.3
42243.955291,27.5
42243.955302,23.7
42243.955314,24.5
42243.955325,24.5
42243.955337,24.1
42243.955349,24.1
42243.955360,25.8
42243.955372,24.8
42243.955383,25.2
42243.955395,25.2
42243.955407,25.0
42243.955418,23.8
42243.955430,24.6
42243.955442,24.4
42243.955453,23.0
42243.955465,22.2
42243.955476,22.6
42243.955488,25.0
42243.955499,24.6
42243.955511,24.9
42243.955523,24.8
42243.955534,24.7
42243.955546,22.5
42243.955558,23.0
42243.955569,25.0
42243.955581,22.1
42243.955592,24.4
42243.955604,25.1
42243.955616,25.0
42243.955627,24.9
42243.955639,25.1
42243.955650,25.3
42243.955662,24.8
42243.955674,24.7
42243.955685,24.4
42243.955697,19.7
42243.955708,24.3
42243.955720,24.9
42243.955732,24.7
42243.955743,25.0
42243.955755,25.0
42243.955767,24.9
42243.955778,24.9
42243.955790,24.7
42243.955801,24.8
42243.955813,25.2
42243.955825,24.6
42243.955836,24.7
42243.955848,25.3
42243.955859,25.2
42243.955871,23.7
42243.955883,24.4
42243.955894,24.2
42243.955906,23.0
42243.955917,18.0
42243.955929,20.0
42243.956056,24.3
42243.956123,24.7
42243.956250,24.7
42243.956297,24.7
42243.956311,24.4
42243.956322,24.4
42243.956345,24.8
42243.956356,24.6
42243.956407,24.6
42243.956418,24.7
42243.956462,24.9
42243.956474,24.4
42243.956485,24.9
42243.956546,24.8
42243.956557,24.9
42243.956569,24.6
42243.956604,24.6
42243.956731,24.2
42243.956858,22.8
42243.956986,23.2
42243.957113,24.6
42243.957190,24.8
42243.957216,24.8
42243.957227,25.0
42243.957265,24.9
42243.957276,24.6
42243.957306,24.5
42243.957317,24.7
42243.957331,24.8
42243.957344,24.7
42243.957431,24.6
42243.957465,24.9
42243.957592,24.6
42243.957678,24.1
42243.957805,21.3
42243.957928,23.8
42243.957960,22.7
42243.958023,26.4
42243.958086,4.7
42243.958118,3.2
42243.958129,0.2
42243.958141,10.4
42243.958152,14.2
42243.958164,0.3
42243.958175,0.1
42243.958187,0.1
42243.958199,5.4
42243.958210,25.6
42243.958222,25.1
42243.958234,25.1
42243.958245,24.8
42243.958257,24.8
42243.958268,24.3
42243.958280,25.2
42243.958292,25.0
42243.958303,25.8
42243.958315,25.0
42243.958326,25.0
42243.958338,24.9
42243.958350,25.1
42243.958361,25.0
42243.958373,25.0
42243.958384,25.0
42243.958396,24.9
42243.958408,24.9
42243.958419,26.6
42243.958431,24.9
42243.958442,24.9
42243.958454,25.0
42243.958466,25.0
42243.958477,25.0
42243.958489,25.1
42243.958501,25.8
42243.958512,25.0
42243.958524,25.0
42243.958535,24.9
42243.958547,25.1
42243.958559,24.9
42243.958570,25.0
42243.958582,25.0
42243.958593,25.0
42243.958605,25.9
42243.958617,25.8
42243.958628,25.0
42243.958640,25.2
42243.958652,25.1
42243.958663,24.9
42243.958675,24.9
42243.958686,25.1
42243.958698,25.1
42243.958710,25.4
42243.958721,25.2
42243.958733,25.0
42243.958744,24.9
42243.958756,24.9
42243.958768,26.0
42243.958779,24.9
42243.958791,24.7
42243.958802,25.0
42243.958814,24.9
42243.958826,25.0
42243.958837,25.1
42243.958849,25.0
42243.958860,25.2
42243.958872,24.8
42243.958884,25.1
42243.958895,24.9
42243.958907,25.1
42243.958918,25.0
42243.958930,25.0
42243.958942,25.3
42243.958953,25.0
42243.958965,25.1
42243.958977,25.0
42243.958988,25.0
42243.959000,25.1
42243.959011,25.0
42243.959023,25.0
42243.959035,25.1
42243.959046,24.9
42243.959174,25.0
42243.959185,25.0
42243.959298,25.0
42243.959310,25.0
42243.959437,25.0
42243.959531,25.0
42243.959543,25.1
42243.959596,25.0
42243.959712,25.0
42243.959724,25.0
42243.959851,25.0
42243.959970,25.0
42243.960097,25.0
42243.960225,24.9
42243.960320,24.9
42243.960331,25.0
42243.960459,25.0
42243.960586,25.0
42243.960665,25.0
42243.960792,24.9
42243.960919,25.0
42243.961014,25.0
42243.961139,24.9
42243.961150,35.7
42243.961256,24.7
42243.961267,24.7
42243.961279,24.9
42243.961290,26.7
42243.961302,25.0
42243.961314,25.0
42243.961325,24.9
42243.961337,25.0
42243.961348,24.9
42243.961360,25.0
42243.961372,25.0
42243.961383,24.8
42243.961395,25.0
42243.961406,25.0
42243.961418,25.0
42243.961430,24.8
42243.961441,25.0
42243.961453,25.0
42243.961464,25.0
42243.961476,24.9
42243.961488,24.8
42243.961499,24.6
42243.961511,24.6
42243.961523,23.8
42243.961534,23.8
42243.961546,22.6
42243.961557,23.7
42243.961569,23.7
42243.961581,23.4
42243.961592,23.4
42243.961604,24.1
42243.961615,22.2
42243.961627,24.2
42243.961639,22.8
42243.961650,26.2
42243.961662,24.3
42243.961673,23.7
42243.961685,23.6
42243.961697,23.7
42243.961708,23.9
