Operations: 4
Services Per Operation: 3
-------------------------
[0.964, 11.3925, 1.6172]	[0.9516, 13.4874, 3.5562]	[0.9624, 8.3064, 2.2785]	
[0.9884, 11.5811, 4.7874]	[0.9841, 10.731, 0.5838]	[0.9982, 3.9318, 2.1393]	
[0.987, 6.7771, 1.394]	[0.989, 5.7701, 1.9759]	[0.9854, 12.8447, 1.2329]	
[0.9706, 3.6527, 1.3061]	[0.9673, 12.7738, 3.2413]	[0.9833, 2.8855, 4.907]	



Possible System Configurations
---------------------
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.964,11.3925,1.6172], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9884,11.5811,4.7874], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9841,10.731,0.5838], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9706,3.6527,1.3061]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9673,12.7738,3.2413]]
[[0.9516,13.4874,3.5562], [0.9982,3.9318,2.1393], [0.9854,12.8447,1.2329], [0.9833,2.8855,4.907]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9706,3.6527,1.3061]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9673,12.7738,3.2413]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.987,6.7771,1.394], [0.9833,2.8855,4.907]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9706,3.6527,1.3061]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9673,12.7738,3.2413]]
[[0.9624,8.3064,2.2785], [0.9884,11.5811,4.7874], [0.989,5.7701,1.9759], [0.9833,2.8855,4.907]]
